Paper ID,Title,Authors,Year,Conference,Hardware,Technology Node,PE Array,Frequency,Power,Area,Novelty,Limitations,Useful For
P01,"A Comprehensive Survey on TinyML","Youssef Abadade, Anas Temouden, Hatim Bamoumen, Nabil Benamar, Yousra Chtouki, Abdelhakim Senhaji Hafid",2023,"IEEE Access","TinyML Survey","ARM Cortex-M MCUs, Edge TPU, FPGA-based Accelerators","N/A","N/A","40-480 MHz (Typical Surveyed Platforms)","25-300 mW (Typical Surveyed Platforms)","N/A","Provides a comprehensive survey of TinyML including hardware platforms, software frameworks, model optimization techniques, applications, deployment workflow, and research challenges.","Survey paper only; does not propose a new hardware accelerator, RTL design, or ASIC implementation.","TinyML enables low-latency, privacy-preserving, and energy-efficient AI on resource-constrained edge devices through hardware/software co-design."
P02,"TinyML: Tools, Applications, Challenges, and Future Research Directions","Rakhee Kallimani, Arunkumar Bandi, Kiran K. Pattanaik, and co-authors",2023,"arXiv","TinyML Survey","ARM Cortex-M, STM32, ESP32, Raspberry Pi, FPGA, ASIC","N/A","N/A","10-1000 MHz (Typical Edge Platforms)","Milliwatt Range","N/A","Comprehensive review of TinyML deployment tools, software frameworks, hardware platforms, optimization techniques, applications, and research challenges.","Survey paper only; no novel hardware accelerator or RTL implementation.","Demonstrates that successful TinyML deployment depends on hardware/software co-design, lightweight frameworks, and efficient edge hardware."
P03,"A Review on TinyML: State-of-the-art and Prospects","Partha Pratim Ray",2022,"Journal of King Saud University – Computer and Information Sciences","TinyML Survey","ARM Cortex-M, STM32, Arduino Nano, Raspberry Pi, GAP8, GAP9, ESP32, FPGA","N/A","N/A","Typical MCU Frequencies","Ultra-Low Power","N/A","Comprehensive survey covering TinyML hardware platforms, software frameworks, optimization techniques, deployment workflows, applications, and future research directions.","Survey paper; does not propose a new accelerator architecture or RTL implementation.","Highlights the importance of hardware/software co-design, lightweight inference, model optimization, and dedicated hardware accelerators for TinyML."
P04,"A Survey on Hardware Accelerators: Taxonomy, Trends, Challenges, and Perspectives","Biagio Peccerillo, Mirco Mannino, Andrea Mondelli, Sandro Bartolini",2022,"Journal of Systems Architecture","Hardware Accelerator Survey","GPU, TPU, FPGA, ASIC, CGRA, PIM, Manycore Processors","Multiple","Multiple","Multiple","Multiple","Multiple","Proposes a comprehensive taxonomy for hardware accelerators by classifying over 100 accelerator architectures based on architecture, host coupling, software, and general characteristics while discussing trends, challenges, and future research directions.","Survey paper; does not propose a new accelerator architecture or implementation.","Provides an excellent architectural taxonomy and design principles useful for developing configurable and energy-efficient TinyML hardware accelerators."
P05,"Accelerating CNN Inference on ASICs: A Survey","Mohammad Motamedi, Phillip Gysel, Venkatesh Akella, and others",2020,"ACM Computing Surveys","CNN Accelerator Survey","ASIC-based CNN Accelerators","28nm-130nm (Surveyed Designs)","Various","100 MHz-1 GHz","Milliwatt-Watt Range","Various","Comprehensive survey of ASIC-based CNN accelerators including architectures, dataflows, memory hierarchy, processing elements, optimization techniques, and performance evaluation.","Survey paper; does not propose a new accelerator architecture.","Provides an extensive comparison of CNN accelerator architectures and highlights dataflow, memory hierarchy, and PE design considerations essential for energy-efficient ASIC accelerators."
P06,"Benchmarking TinyML Systems: Challenges and Direction","Colby R. Banbury, Vijay Janapa Reddi, Max Lam, William Fu, Amin Fazel, Jeremy Holleman, Xinyuan Huang, Robert Hurtado, David Kanter, Anton Lokhmotov, David Patterson, Danilo Pau, Jae-sun Seo, Jeff Sieracki, Urmish Thakker, Marian Verhelst, Poonam Yadav",2021,"arXiv","TinyML Benchmarking","ARM Cortex-M MCUs, TinyML Hardware","N/A","N/A","MHz-Class MCUs","Sub-mW to mW","N/A","Introduces the TinyMLPerf benchmarking initiative, identifies challenges in evaluating TinyML hardware, proposes benchmark workloads and establishes a fair benchmarking methodology for TinyML systems.","Position paper; does not propose a new hardware accelerator.","Benchmarking is essential for comparing TinyML hardware and motivates standardized evaluation of future TinyML ASIC accelerators."
P07,"A Machine Learning-oriented Survey on Tiny Machine Learning","Luigi Capogrosso, Federico Cunico, Dong Seon Cheng, Franco Fummi, Marco Cristani",2023,"IEEE Access","TinyML Survey","MCUs, ASICs, FPGAs, Edge TPU","Multiple","Multiple","Multiple","Milliwatt Range","Multiple","Presents a comprehensive PRISMA-based survey focusing on TinyML learning algorithms, optimization techniques, hardware platforms, software frameworks, ML/HW co-design workflows, and future research directions.","Survey paper only; no novel RTL or ASIC architecture.","Emphasizes hardware-software co-design and provides an extensive taxonomy of TinyML learning algorithms and deployment workflows."
P08,"Tiny Machine Learning (TinyML): Research Trends and Future Application Opportunities","Hui Han and Silvana Trimi and Sang M. Lee",2026,"Array","Bibliometric Study","TinyML Research Landscape","N/A","N/A","N/A","N/A","N/A","Presents the first bibliometric analysis of TinyML literature using 392 peer-reviewed publications, identifying research trends, collaboration networks, emerging themes, and future research directions.","Bibliometric study; does not propose hardware architectures or implementations.","Provides quantitative evidence of the rapid growth of TinyML research and identifies future opportunities including sustainable hardware, federated learning, and privacy-preserving edge AI."
P09,"Tiny Machine Learning: Progress and Futures","Ji Lin, Ligeng Zhu, Wei-Ming Chen, Wei-Chen Wang, Song Han",2024,"arXiv","TinyML Survey","ARM Cortex-M MCUs, TinyEngine, MCUNet","Multiple","Multiple","Multiple","Ultra-Low Power","N/A","Comprehensive review of TinyML evolution, deployment challenges, MCUNet, TinyEngine, on-device training, algorithm-system co-design, and future research directions.","Survey paper; does not introduce a completely new accelerator architecture.","Highlights that successful TinyML requires algorithm-system co-design and introduces MCUNet as a representative TinyML framework for efficient inference and training."
P10,"DianNao: A Small-Footprint High-Throughput Accelerator for Ubiquitous Machine Learning","Tianshi Chen, Zidong Du, Ninghui Sun, Jia Wang, Chengyong Wu, Yunji Chen, Olivier Temam",2014,"ASPLOS","Neural Network Accelerator","ASIC","65 nm","496 MAC Units","452 GOP/s","485 mW","3.02 mm²","Proposes DianNao, one of the first dedicated ASIC accelerators for CNNs and DNNs with optimized memory hierarchy, delivering high throughput and energy efficiency in a compact footprint.","Supports inference only and targets dense neural networks without exploiting sparsity.","Introduced dedicated ASIC acceleration for deep learning and demonstrated the importance of memory hierarchy optimization in neural network accelerators."
P11,"ShiDianNao: Shifting Vision Processing Closer to the Sensor","Zidong Du, Robert Fasthuber, Tianshi Chen, Xiaobing Feng, Yunji Chen, Paolo Ienne, Ling Li, Olivier Temam, Tao Luo",2015,"ISCA","CNN Accelerator","ASIC","65 nm","Dedicated CNN Processing Elements","194 GOP/s","320 mW","4.86 mm²","Introduces ShiDianNao, a CNN accelerator integrated near the image sensor to eliminate DRAM accesses, significantly improving energy efficiency through on-chip weight storage and optimized data movement.","Focused primarily on CNN inference for vision applications and lacks flexibility for broader neural network workloads.","Demonstrates that minimizing off-chip memory access is critical for ultra-energy-efficient CNN acceleration."
P12,"DaDianNao: A Machine-Learning Supercomputer","Yunji Chen, Tao Luo, Shaoli Liu, Shijin Zhang, Liqiang He, Jia Wang, Ling Li, Tianshi Chen, Zhiwei Xu, Ninghui Sun, Olivier Temam",2014,"MICRO","Distributed Neural Network Accelerator","ASIC Multi-Chip","28 nm","Multi-Chip Processing Nodes","450.65× GPU Speedup","N/A","Multi-Chip System","Presents DaDianNao, a scalable multi-chip deep learning accelerator that stores neural network parameters entirely on-chip using distributed eDRAM, drastically reducing external memory traffic.","Requires multiple custom chips and is primarily intended for datacenter-scale deployment.","Introduces scalable multi-chip neural network acceleration with distributed on-chip memory and high-speed interconnects."
P13,"Eyeriss: An Energy-Efficient Reconfigurable Accelerator for Deep Convolutional Neural Networks","Yu-Hsin Chen, Tushar Krishna, Joel S. Emer, Vivienne Sze",2017,"IEEE Journal of Solid-State Circuits","CNN Accelerator","ASIC","65 nm","168 Processing Elements","35 FPS (AlexNet)","278 mW","N/A","Introduces the Row-Stationary (RS) dataflow, a reconfigurable PE array, hierarchical memory system, compression, and data gating to minimize data movement energy.","Optimized for CNN inference and dense workloads; limited support for emerging compact and sparse networks.","Establishes Row-Stationary dataflow as a highly energy-efficient strategy for CNN acceleration through maximal data reuse."
P14,"Eyeriss v2: A Flexible Accelerator for Emerging Deep Neural Networks on Mobile Devices","Yu-Hsin Chen, Tien-Ju Yang, Joel S. Emer, Vivienne Sze",2019,"IEEE Journal on Emerging and Selected Topics in Circuits and Systems","Sparse DNN Accelerator","ASIC","65 nm","Hierarchical Mesh PE Array","1470.6 inferences/s (MobileNet)","N/A","N/A","Introduces Eyeriss v2 with a hierarchical mesh NoC and compressed-domain processing to efficiently support compact and sparse DNNs on mobile devices.","Primarily targets inference and requires workload-specific mapping for best performance.","Extends the Eyeriss architecture with flexible communication and native sparse computation support for modern compact neural networks."
P15,"In-Datacenter Performance Analysis of a Tensor Processing Unit","Norman P. Jouppi, Cliff Young, Nishant Patil, David Patterson, et al.",2017,"ISCA","Tensor Processing Unit (TPU)","ASIC","28 nm","65,536 8-bit MACs","92 TOPS","40 W","28 MiB On-chip Memory","Introduces Google's first-generation Tensor Processing Unit (TPU) for datacenter inference, featuring a massive systolic matrix multiplication unit, deterministic execution, and software-managed memory to achieve high throughput and energy efficiency.","Optimized for inference only and integer operations; lacks support for training workloads.","Demonstrates the effectiveness of systolic-array-based architectures and dedicated on-chip memory for large-scale neural network inference."
P16,"Simba: Scaling Deep-Learning Inference with Multi-Chip-Module-Based Architecture","Yakun Sophia Shao, Jason Clemons, Rangharajan Venkatesan, Brian Zimmer, William J. Dally, Joel Emer, Stephen W. Keckler, et al.",2019,"MICRO","Multi-Chip Deep Learning Accelerator","ASIC (MCM)","16 nm FinFET","36 Chiplets","128 TOPS","Up to 6.1 TOPS/W","36-Chiplet MCM","Introduces Simba, a scalable chiplet-based deep learning accelerator using multi-chip-module technology and communication-aware mapping for high-performance inference.","Primarily targets datacenter inference and depends on advanced chiplet packaging.","Demonstrates scalable chiplet-based accelerator architecture and efficient communication-aware workload mapping."
P17,"Origami: A 803-GOp/s/W Convolution Network Accelerator","Lukas Cavigelli, Luca Benini",2017,"IEEE Transactions on Circuits and Systems for Video Technology","CNN Accelerator","ASIC","65 nm","Convolution Engine","196 GOp/s","803 GOp/s/W","3.09 mm²","Presents Origami, an ultra-energy-efficient convolution accelerator optimized for embedded vision with fixed-point computation and reduced external memory bandwidth.","Designed specifically for convolutional layers and embedded vision applications.","Highlights aggressive energy optimization and bandwidth reduction techniques for embedded CNN inference."
P18,"Building OpenLANE: A 130nm OpenROAD-based Tapeout-Proven Flow","Mohamed Shalan, Tim Edwards",2020,"ICCAD","Open-Source RTL-to-GDSII Flow","EDA Flow","Sky130","N/A","RTL-to-GDSII","Tapeout Proven","130 nm","Presents the OpenLANE digital ASIC flow built on OpenROAD and Sky130, demonstrating fully open-source RTL-to-GDSII implementation through successful silicon tapeouts.","Targets the Sky130 technology node and digital ASIC designs.","Provides the complete open-source implementation methodology that forms the ASIC backend flow used in this project."
P19,"From RTL to Fabrication: Survey of Open-Source EDA Tools and PDKs","Emilio Isaac Baungarten-Leon",2026,"Electronics","Open-Source EDA Survey","EDA Ecosystem","Multiple","N/A","RTL-to-GDSII","Survey","N/A","Comprehensive survey covering the complete open-source RTL-to-GDSII ecosystem including Yosys, OpenROAD, OpenLANE, OpenSTA, Magic, Netgen, KLayout and open PDKs.","Survey paper; does not introduce a new implementation methodology.","Provides a comprehensive overview of modern open-source ASIC design tools that support reproducible silicon design."
P20,"OpenLANE: The Open-Source Digital ASIC Implementation Flow","Ahmed Alaa Ghazy, Mohamed Shalan",2021,"ISVLSI","OpenLANE Flow","EDA Flow","Sky130","N/A","RTL-to-GDSII","Tapeout Proven","130 nm","Describes the OpenLANE automated digital ASIC implementation flow, including synthesis, floorplanning, placement, routing, clock tree synthesis, DRC/LVS verification, and SoC integration.","Focused primarily on Sky130 and digital ASIC implementation.","Forms the practical RTL-to-GDSII methodology adopted by this TinyML systolic-array accelerator project."
P21,"Energy-efficient Acceleration of Convolutional Neural Networks using Computation Reuse","Azam Ghanbari, Mehdi Modarressi",2022,"Journal of Systems Architecture","CORN-C","ASIC CNN Accelerator","8-bit Quantized","Computation Reuse","10.5–20.9% Energy Reduction","13.4–41.6% Latency Reduction","N/A","Proposes CORN-C, a computation reuse-aware CNN accelerator that exploits repeated quantized weights to eliminate redundant multiplications, reducing both energy consumption and execution latency.","Effectiveness depends on weight quantization and redundancy in CNN filter values.","Introduces computation reuse as an architectural optimization complementary to systolic-array accelerators for energy-efficient TinyML inference."
P22,"Low Power & Mobile Hardware Accelerators for Deep Convolutional Neural Networks","Anthony G. Scanlan",2019,"Integration, the VLSI Journal","Survey of CNN Accelerators","Survey","Multiple Technologies","Low-Power CNN Hardware","Review","Review","N/A","Comprehensive review of low-power mobile CNN accelerators covering dataflow, reduced precision, sparsity, memory hierarchy, analog computing, and neuromorphic approaches for embedded AI.","Survey paper; does not propose a new accelerator architecture.","Provides an extensive overview of architectural techniques used to reduce memory access and computation energy in CNN accelerators."
P23,"Recent Developments in Low-Power AI Accelerators: A Survey","Christoffer Åleskog, Håkan Grahn, Anton Borg",2022,"Algorithms","Low-Power AI Accelerator Survey","Survey","Multiple Technologies","79 AI Accelerators","≤10 W Focus","Survey","N/A","Reviews 79 low-power AI accelerators published between 2019–2022, analyzing power efficiency, precision, acceleration targets, systolic arrays, dataflows, and edge AI hardware.","Survey only; no novel hardware implementation.","Provides a modern overview of edge AI accelerator trends and serves as a benchmark for positioning new TinyML accelerator designs."
